ip,date,Sent,sicmp,sudp,stcp,sftp,shttp,ssmtp,Received,ricmp,rudp,rtcp,rftp,rhttp,rsmtp
0.0.0.0,1525042434,372765,63476,44263,265026,0,256884,0,613066,63736,44172,505158,0,498106,0
1,1525042434,31668,31668,0,0,0,0,0,31668,31668,0,0,0,0,0
166,1525042434,46906,0,229,46677,0,46365,0,53332,0,0,53332,0,52900,0
55,1525042434,10423,0,1165,9258,0,9258,0,18609,0,0,18609,0,18609,0
77,1525042434,13885,0,6803,7082,0,3786,0,8715,0,0,8715,0,8715,0
50,1525042434,124975,0,229,124746,0,120836,0,100988,0,0,100988,0,94368,0
70,1525042434,229,0,229,0,0,0,0,0,0,0,0,0,0,0
255,1525042434,0,0,0,0,0,0,0,32248,0,32248,0,0,0,0
79,1525042434,506,0,250,256,0,256,0,0,0,0,0,0,0,0
251,1525042434,4753,0,4753,0,0,0,0,0,0,0,0,0,0,0
200,1525042434,5700,0,5700,0,0,0,0,10860,0,10860,0,0,0,0
63,1525042434,229,0,229,0,0,0,0,0,0,0,0,0,0,0
65,1525042434,27295,0,21234,6061,0,6061,0,9284,0,0,9284,0,9284,0
52,1525042434,229,0,229,0,0,0,0,0,0,0,0,0,0,0
69,1525042434,2272,0,0,2272,0,2272,0,4547,0,0,4547,0,4547,0
58,1525042434,229,0,229,0,0,0,0,0,0,0,0,0,0,0
190,1525042434,2501,0,229,2272,0,2272,0,4547,0,0,4547,0,4547,0
51,1525042434,4167,0,229,3938,0,3938,0,8863,0,0,8863,0,8863,0
62,1525042434,994,0,229,765,0,765,0,7158,0,0,7158,0,7158,0
59,1525042434,4015,0,229,3786,0,3786,0,8715,0,0,8715,0,8715,0
250,1525042434,46433,31668,1140,13625,0,13625,0,77379,31668,1064,44647,0,44647,0
0.0.0.0,1525042434,372765,63476,44263,265026,0,256884,0,613066,63736,44172,505158,0,498106,0
1,1525042434,31668,31668,0,0,0,0,0,31668,31668,0,0,0,0,0
166,1525042434,46906,0,229,46677,0,46365,0,53332,0,0,53332,0,52900,0
55,1525042434,10423,0,1165,9258,0,9258,0,18609,0,0,18609,0,18609,0
77,1525042434,13885,0,6803,7082,0,3786,0,8715,0,0,8715,0,8715,0
50,1525042434,124975,0,229,124746,0,120836,0,100988,0,0,100988,0,94368,0
70,1525042434,229,0,229,0,0,0,0,0,0,0,0,0,0,0
255,1525042434,0,0,0,0,0,0,0,32248,0,32248,0,0,0,0
79,1525042434,506,0,250,256,0,256,0,0,0,0,0,0,0,0
251,1525042434,4753,0,4753,0,0,0,0,0,0,0,0,0,0,0
200,1525042434,5700,0,5700,0,0,0,0,10860,0,10860,0,0,0,0
63,1525042434,229,0,229,0,0,0,0,0,0,0,0,0,0,0
65,1525042434,27295,0,21234,6061,0,6061,0,9284,0,0,9284,0,9284,0
52,1525042434,229,0,229,0,0,0,0,0,0,0,0,0,0,0
69,1525042434,2272,0,0,2272,0,2272,0,4547,0,0,4547,0,4547,0
58,1525042434,229,0,229,0,0,0,0,0,0,0,0,0,0,0
190,1525042434,2501,0,229,2272,0,2272,0,4547,0,0,4547,0,4547,0
51,1525042434,4167,0,229,3938,0,3938,0,8863,0,0,8863,0,8863,0
62,1525042434,994,0,229,765,0,765,0,7158,0,0,7158,0,7158,0
59,1525042434,4015,0,229,3786,0,3786,0,8715,0,0,8715,0,8715,0
250,1525043035,37118,31696,912,4510,0,4510,0,47789,31696,760,15333,0,15333,0
0.0.0.0,1525043035,389325,63992,48400,276933,0,268783,0,574557,64188,45854,464515,0,457319,0
1,1525043035,31696,31696,0,0,0,0,0,31696,31696,0,0,0,0,0
55,1525043035,16790,0,0,16790,0,16790,0,41293,0,0,41293,0,41293,0
65,1525043035,24198,0,24198,0,0,0,0,0,0,0,0,0,0,0
255,1525043035,0,0,0,0,0,0,0,34075,0,34075,0,0,0,0
77,1525043035,11660,0,6680,4980,0,1740,0,4441,0,0,4441,0,4441,0
166,1525043035,61792,0,229,61563,0,60991,0,116720,400,0,116320,0,115744,0
50,1525043035,135997,0,229,135768,0,131898,0,176550,0,0,176550,0,169930,0
200,1525043035,8167,0,5895,2272,0,2272,0,13509,0,8962,4547,0,4547,0
251,1525043035,4753,0,4753,0,0,0,0,0,0,0,0,0,0,0
62,1525043035,6707,0,468,6239,0,6239,0,23898,0,0,23898,0,23898,0
63,1525043035,463,0,463,0,0,0,0,0,0,0,0,0,0,0
54,1525043035,229,0,229,0,0,0,0,0,0,0,0,0,0,0
190,1525043035,382,0,229,153,0,153,0,165,0,0,165,0,165,0
53,1525043035,229,0,229,0,0,0,0,0,0,0,0,0,0,0
58,1525043035,5118,0,0,5118,0,5118,0,8863,0,0,8863,0,8863,0
79,1525043035,250,0,250,0,0,0,0,0,0,0,0,0,0,0
52,1525043035,229,0,229,0,0,0,0,0,0,0,0,0,0,0
70,1525043035,229,0,229,0,0,0,0,0,0,0,0,0,0,0
69,1525043035,234,0,234,0,0,0,0,0,0,0,0,0,0,0
59,1525043035,1611,0,0,1611,0,1611,0,5423,0,0,5423,0,5423,0
250,1525043035,37118,31696,912,4510,0,4510,0,47789,31696,760,15333,0,15333,0
0.0.0.0,1525043035,389325,63992,48400,276933,0,268783,0,574557,64188,45854,464515,0,457319,0
1,1525043035,31696,31696,0,0,0,0,0,31696,31696,0,0,0,0,0
55,1525043035,16790,0,0,16790,0,16790,0,41293,0,0,41293,0,41293,0
65,1525043035,24198,0,24198,0,0,0,0,0,0,0,0,0,0,0
255,1525043035,0,0,0,0,0,0,0,34075,0,34075,0,0,0,0
77,1525043035,11660,0,6680,4980,0,1740,0,4441,0,0,4441,0,4441,0
166,1525043035,61792,0,229,61563,0,60991,0,116720,400,0,116320,0,115744,0
50,1525043035,135997,0,229,135768,0,131898,0,176550,0,0,176550,0,169930,0
200,1525043035,8167,0,5895,2272,0,2272,0,13509,0,8962,4547,0,4547,0
251,1525043035,4753,0,4753,0,0,0,0,0,0,0,0,0,0,0
62,1525043035,6707,0,468,6239,0,6239,0,23898,0,0,23898,0,23898,0
63,1525043035,463,0,463,0,0,0,0,0,0,0,0,0,0,0
54,1525043035,229,0,229,0,0,0,0,0,0,0,0,0,0,0
190,1525043035,382,0,229,153,0,153,0,165,0,0,165,0,165,0
53,1525043035,229,0,229,0,0,0,0,0,0,0,0,0,0,0
58,1525043035,5118,0,0,5118,0,5118,0,8863,0,0,8863,0,8863,0
79,1525043035,250,0,250,0,0,0,0,0,0,0,0,0,0,0
52,1525043035,229,0,229,0,0,0,0,0,0,0,0,0,0,0
70,1525043035,229,0,229,0,0,0,0,0,0,0,0,0,0,0
69,1525043035,234,0,234,0,0,0,0,0,0,0,0,0,0,0
59,1525043035,1611,0,0,1611,0,1611,0,5423,0,0,5423,0,5423,0
55,1525043636,11863,0,229,11634,0,11634,0,26965,0,0,26965,0,26965,0
0.0.0.0,1525043636,396087,63392,71046,261649,0,253499,0,534677,63680,73614,397383,0,390251,0
50,1525043636,121847,0,229,121618,0,117748,0,122772,0,0,122772,0,116072,0
250,1525043636,35516,31640,684,3192,0,3192,0,38037,31640,684,5713,0,5713,0
1,1525043636,31640,31640,0,0,0,0,0,31640,31640,0,0,0,0,0
166,1525043636,68177,0,7386,60791,0,60479,0,82606,0,5752,76854,0,76422,0
65,1525043636,28782,0,28782,0,0,0,0,0,0,0,0,0,0,0
255,1525043636,0,0,0,0,0,0,0,39095,0,39095,0,0,0,0
77,1525043636,10227,0,6803,3424,0,80,0,40,0,0,40,0,40,0
200,1525043636,9271,0,9271,0,0,0,0,20274,0,20274,0,0,0,0
51,1525043636,229,0,229,0,0,0,0,0,0,0,0,0,0,0
190,1525043636,4873,0,0,4873,0,4873,0,9028,0,0,9028,0,9028,0
251,1525043636,4753,0,4753,0,0,0,0,0,0,0,0,0,0,0
59,1525043636,5860,0,229,5631,0,5631,0,9165,0,0,9165,0,9165,0
62,1525043636,2121,0,229,1892,0,1892,0,18833,0,0,18833,0,18833,0
54,1525043636,3035,0,229,2806,0,2806,0,4969,0,0,4969,0,4969,0
53,1525043636,229,0,229,0,0,0,0,0,0,0,0,0,0,0
63,1525043636,463,0,463,0,0,0,0,0,0,0,0,0,0,0
58,1525043636,4183,0,229,3954,0,3954,0,17209,0,0,17209,0,17209,0
79,1525043636,250,0,250,0,0,0,0,0,0,0,0,0,0,0
70,1525043636,229,0,229,0,0,0,0,0,0,0,0,0,0,0
55,1525043636,11863,0,229,11634,0,11634,0,26965,0,0,26965,0,26965,0
0.0.0.0,1525043636,396087,63392,71046,261649,0,253499,0,534677,63680,73614,397383,0,390251,0
50,1525043636,121847,0,229,121618,0,117748,0,122772,0,0,122772,0,116072,0
250,1525043636,35516,31640,684,3192,0,3192,0,38037,31640,684,5713,0,5713,0
1,1525043636,31640,31640,0,0,0,0,0,31640,31640,0,0,0,0,0
166,1525043636,68177,0,7386,60791,0,60479,0,82606,0,5752,76854,0,76422,0
65,1525043636,28782,0,28782,0,0,0,0,0,0,0,0,0,0,0
255,1525043636,0,0,0,0,0,0,0,39095,0,39095,0,0,0,0
77,1525043636,10227,0,6803,3424,0,80,0,40,0,0,40,0,40,0
200,1525043636,9271,0,9271,0,0,0,0,20274,0,20274,0,0,0,0
51,1525043636,229,0,229,0,0,0,0,0,0,0,0,0,0,0
190,1525043636,4873,0,0,4873,0,4873,0,9028,0,0,9028,0,9028,0
251,1525043636,4753,0,4753,0,0,0,0,0,0,0,0,0,0,0
59,1525043636,5860,0,229,5631,0,5631,0,9165,0,0,9165,0,9165,0
62,1525043636,2121,0,229,1892,0,1892,0,18833,0,0,18833,0,18833,0
54,1525043636,3035,0,229,2806,0,2806,0,4969,0,0,4969,0,4969,0
53,1525043636,229,0,229,0,0,0,0,0,0,0,0,0,0,0
